,Medal,Beer Name,Brewery,City,State,County,Category,Year
2723,Bronze,Bluegrass Brown,Thunder Canyon Brewery,Tucson,AZ,Pima,Wood- and Barrel-Aged Beer,2010
2724,Gold,Le Serpent Cerise,Snake River Brewing Co.,Jackson,WY,Teton,Wood- and Barrel-Aged Sour Beer,2010
2725,Silver,Temptation,Russian River Brewing Co.,Santa Rosa,CA,Sonoma,Wood- and Barrel-Aged Sour Beer,2010
2726,Bronze,The Jaspers,Bullfrog Brewery,Williamsport,PA,Lycoming,Wood- and Barrel-Aged Sour Beer,2010
2727,Gold,Barrel Aged Big Island,Island Brewing Co.,Carpinteria,CA,Santa Barbara,Wood- and Barrel-Aged Strong Beer,2010
2728,Silver,HE'BREW RIPA on RYE,Shmaltz Brewing Co.,San Francisco,CA,San Francisco,Wood- and Barrel-Aged Strong Beer,2010
2729,Bronze,Melange a Trois,Nebraska Brewing Co.,Papillion,NE,Sarpy,Wood- and Barrel-Aged Strong Beer,2010
2730,Gold,Bourbon Barrel Aged Sexual Chocolate Imperial Stout,Foothills Brewing,Winston-Salem,NC,Forsyth,Wood- and Barrel-Aged Strong Stout,2010
2731,Silver,Remy,TAPS Fish House & Brewery,Brea,CA,Orange,Wood- and Barrel-Aged Strong Stout,2010
2732,Bronze,Bourbon County Brand Stout,Goose Island Beer Co.,Chicago,IL,Cook,Wood- and Barrel-Aged Strong Stout,2010
2733,Gold,Horn Dog Vintage 2007,Flying Dog Brewery,Frederick,MD,Frederick,Aged Beer,2009
2734,Silver,St. Bob's Imperial Stout,IL Vicino Brewing Co.,Albuquerque,NM,Bernalillo,Aged Beer,2009
2735,Bronze,Winterfest 2008,Utah Brewers Cooperative,Salt Lake City,UT,Salt Lake,Aged Beer,2009
2736,Gold,Exit 4,Flying Fish Brewing Co.,Cherry Hill,NJ,Camden,American-Belgo-Style Ale,2009
2737,Silver,The Crow and The Sparrow,Rock Bottom Brewery - Chicago,Chicago,IL,Cook,American-Belgo-Style Ale,2009
2738,Bronze,Temperance,Mountain Sun Pub and Brewery,Boulder,CO,Boulder,American-Belgo-Style Ale,2009
2739,Gold,Durango Colorfest,Durango Brewing Co.,Durango,CO,La Plata,American-Style Amber Lager,2009
2740,Silver,Killian's Red,Coors Brewing Co.,Golden,CO,Jefferson,American-Style Amber Lager,2009
2741,Bronze,Michelob Marzen,Michelob Brewing Co.,Saint Louis,MO,St. Louis (city),American-Style Amber Lager,2009
2742,Gold,Organic Rise Up Red,Hopworks Urban Brewery,Portland,OR,Multnomah,American-Style Amber/Red Ale,2009
2743,Silver,Red Rock,Triple Rock Brewery and Alehouse,Berkeley,CA,Alameda,American-Style Amber/Red Ale,2009
2744,Bronze,Hop Head Red,Green Flash Brewing Co.,Vista,CA,San Diego,American-Style Amber/Red Ale,2009
2745,Gold,Dirty Helen Brown Ale,Barley Island Brewing Co.,Noblesville,IN,Hamilton,American-Style Brown Ale,2009
2746,Silver,Cheyenne Cañon Ale,Bristol Brewing Co.,Colorado Springs,CO,El Paso,American-Style Brown Ale,2009
2747,Bronze,Great American Brown,Pizza Port - Carlsbad,Carlsbad,CA,San Diego,American-Style Brown Ale,2009
2748,Gold,Milwaukee's Best,Miller Brewing Co.,Golden,CO,Jefferson,American-Style Cream Ale or Lager ,2009
2749,Silver,Hamm's,Miller Brewing Co.,Golden,CO,Jefferson,American-Style Cream Ale or Lager ,2009
2750,Bronze,Red Dog,Miller Brewing Co.,Golden,CO,Jefferson,American-Style Cream Ale or Lager ,2009
2751,Gold,Session Black Premium Lager,Full Sail Brewing at Riverplace,Portland,OR,Multnomah,American-Style Dark Lager,2009
2752,Silver,Roadrunner Red Lager,Thunder Canyon Brewery,Tucson,AZ,Pima,American-Style Dark Lager,2009
2753,Bronze,Saranac Black Forest,Saranac/F.X. Matt Brewing Co.,Utica,NY,Oneida,American-Style Dark Lager,2009
2754,Gold,Union Jack,Firestone Walker Brewing Co.,Paso Robles,CA,San Luis Obispo,American-Style India Pale Ale,2009
2755,Silver,Sculpin IPA,Ballast Point Brewing Co.,San Diego,CA,San Diego,American-Style India Pale Ale,2009
2756,Bronze,Blind Pig IPA,Russian River Brewing Co.,Santa Rosa,CA,Sonoma,American-Style India Pale Ale,2009
2757,Gold,Coors Banquet,Coors Brewing Co.,Golden,CO,Jefferson,American-Style Lager or Premium Lager,2009
2758,Silver,Miller High Life,Miller Brewing Co.,Golden,CO,Jefferson,American-Style Lager or Premium Lager,2009
2759,Bronze,Totally Naked,New Glarus Brewing Co.,New Glarus,WI,Green,American-Style Lager or Premium Lager,2009
2760,Gold,Budweiser Select,"Anheuser-Busch, Inc",Saint Louis,MO,St. Louis (city),American-Style Light Lager,2009
2761,Silver,Keystone Light,Coors Brewing Co.,Golden,CO,Jefferson,American-Style Light Lager,2009
2762,Bronze,Michelob Ultra,"Anheuser-Busch, Inc",Saint Louis,MO,St. Louis (city),American-Style Light Lager,2009
2763,Gold,Sweetgrass IPA,Grand Teton Brewing Co.,Victor,ID,Teton,American-Style Pale Ale,2009
2764,Silver,44 Pale Ale,Colorado Brewing Co./Draft House,Boulder,CO,Boulder,American-Style Pale Ale,2009
2765,Bronze,Tumble Off Pale Ale,Barley Brown's Brew Pub,Baker City,OR,Baker,American-Style Pale Ale,2009
2766,Gold,Rosso e Marrone,Captain Lawrence Brewing Co.,Pleasantville,NY,Westchester,American-Style Sour Ale,2009
2767,Silver,Raspberry Torte,Iron Hill Brewery & Restaurant,Wilmington,DE,New Castle,American-Style Sour Ale,2009
2768,Bronze,Diamond Kings '09,Brugge Brasserie,Indianapolis,IN,Marion,American-Style Sour Ale,2009
2769,Gold,Keystone Ice,Coors Brewing Co.,Golden,CO,Jefferson,American-Style Specialty Lager,2009
2770,Silver,Pre-Pro,Coors Brewing Co.,Golden,CO,Jefferson,American-Style Specialty Lager,2009
2771,Bronze,Steel Reserve,Miller Brewing Co.,Golden,CO,Jefferson,American-Style Specialty Lager,2009
2772,Gold,Liberty Stout,Gella's Diner and Lb. Brewing Co.,Hays,KS,Ellis,American-Style Stout,2009
2773,Silver,Troegs Dead Reckoning,Tröegs Brewing Co.,Harrisburg,PA,Dauphin,American-Style Stout,2009
2774,Bronze,Stonefly Oatmeal Stout,Third Street AleWorks,Santa Rosa,CA,Sonoma,American-Style Stout,2009
2775,Gold,Racer 5 IPA,Bear Republic Factory Five,Cloverdale,CA,Sonoma,American-Style Strong Pale Ale,2009
2776,Silver,Hopshot IPA,Beaver St. Brewery,Flagstaff,AZ,Coconino,American-Style Strong Pale Ale,2009
2777,Bronze,IPA Nectar,Firestone Walker Brewing Co.,Paso Robles,CA,San Luis Obispo,American-Style Strong Pale Ale,2009
2778,Gold,County Seat Wheat,Blind Tiger Brewery & Restaurant,Topeka,KS,Shawnee,American-Style Wheat Beer,2009
2779,Silver,Shredders Wheat,Barley Brown's Brew Pub,Baker City,OR,Baker,American-Style Wheat Beer,2009
2780,Bronze,Double Eagle Ale,Rockyard Brewing Co.,Castle Rock,CO,Douglas,American-Style Wheat Beer,2009
2781,Gold,Haywire Hefeweizen,Pyramid Breweries Inc,Seattle,WA,King,American-Style Wheat Beer With Yeast,2009
2782,Silver,Hefeweizen,Widmer Brothers Brewing Co.,Portland,OR,Multnomah,American-Style Wheat Beer With Yeast,2009
2783,Bronze,UFO Hefeweizen,Harpoon Brewery,Boston,MA,Suffolk,American-Style Wheat Beer With Yeast,2009
2784,Gold,Duck-Rabbit Baltic Porter,Duck-Rabbit Craft Brewery Inc (The),Farmville,NC,Pitt,Baltic-Style Porter,2009
2785,Silver,Danzig,Devils Backbone Brewing Co.,Roseland,VA,NOT KNOWN,Baltic-Style Porter,2009
2786,Bronze,Veles Baltic Porter,FireHouse Grill & Brewery,Sunnyvale,CA,Santa Clara,Baltic-Style Porter,2009
2787,Gold,Old Inventory Barley Wine,Valley Brewing Co.,Stockton,CA,San Joaquin,Barley Wine Style Ale,2009
2788,Silver,Treblehook,Redhook Ales - Woodinville,Woodinville,WA,King,Barley Wine Style Ale,2009
2789,Bronze,Old Ruffian Barley Wine,Great Divide Brewing Co.,Denver,CO,Denver,Barley Wine Style Ale,2009
2790,Gold,Carnevale,Lost Abbey (The),San Marcos,CA,San Diego,Belgian  and French-Style Ale,2009
2791,Silver,Demolition,Goose Island Beer Co.,Chicago,IL,Cook,Belgian  and French-Style Ale,2009
2792,Bronze,Collaborative Evil-Sacramento,Sacramento Brewing Co.,Sacramento,CA,Sacramento,Belgian  and French-Style Ale,2009
2793,Gold,Revelations,Pizza Port - Carlsbad,Carlsbad,CA,San Diego,Belgian Style Strong Specialty Ale,2009
2794,Silver,"""100""",Covey Restaurant & Brewery (The),Fort Worth,TX,NOT KNOWN,Belgian Style Strong Specialty Ale,2009
2795,Bronze,Father Damien Abbey Ale,Maui Brewing Co.,Lahaina,HI,Maui,Belgian Style Strong Specialty Ale,2009
2796,Gold,Signature Dubbel,Choc Beer Co.,Krebs,OK,Pittsburg,Belgian-Style Abbey Ale,2009
2797,Silver,Tripel,Allagash Brewing Co.,Portland,ME,Cumberland,Belgian-Style Abbey Ale,2009
2798,Bronze,Deschutes Brewery Quad,Deschutes Brewery,Bend,OR,Deschutes,Belgian-Style Abbey Ale,2009
2799,Gold,Duck Duck Gooze,Lost Abbey (The),San Marcos,CA,San Diego,Belgian-Style Lambic or Sour Ale,2009
2800,Silver,Red Rock,Big Rock Chop House & Brewery,Birmingham,MI,Oakland,Belgian-Style Lambic or Sour Ale,2009
2801,Bronze,Supplication,Russian River Brewing Co.,Santa Rosa,CA,Sonoma,Belgian-Style Lambic or Sour Ale,2009
2802,Gold,ZON,Boulevard Brewing Co.,Kansas City,MO,Jackson,Belgian-Style Witbier,2009
2803,Silver,Belgian White,Big Dog's Brewing Co.,Las Vegas,NV,Clark,Belgian-Style Witbier,2009
2804,Bronze,Wits End,Great American Restaurants,Centreville,VA,Fairfax,Belgian-Style Witbier,2009
2805,Gold,Troegenator,Tröegs Brewing Co.,Harrisburg,PA,Dauphin,Bock,2009
2806,Silver,May Bock,Backcountry Brewery,Frisco,CO,Summit,Bock,2009
2807,Bronze,Fornicator,Piece Brewery,Chicago,IL,Cook,Bock,2009
2808,Gold,Vermont Lager,Otter Creek Brewing/Wolaver's Organic Ales,Middlebury,VT,Addison,Bohemian Style Pilsener,2009
2809,Silver,Gordon Biersch Czech Pilsner,Gordon Biersch Brewery Restaurant Group,Broomfield,CO,Broomfield,Bohemian Style Pilsener,2009
2810,Bronze,Bell's Lager Beer,"Bell's Brewery, Inc",Galesburg,MI,Kalamazoo,Bohemian Style Pilsener,2009
2811,Gold,St. Charles Porter,Blackstone Brewing Co.,Nashville,TN,Davidson,Brown Porter,2009
2812,Silver,Lazy Jake Porter,Long Valley Pub and Brewery,Long Valley,NJ,Morris,Brown Porter,2009
2813,Bronze,Black Butte Porter,Deschutes Brewery,Bend,OR,Deschutes,Brown Porter,2009
2814,Gold,Mactarnahan's Amber,Pyramid Breweries Inc,Seattle,WA,King,Classic English Style Pale Ale,2009
2815,Silver,Mirror Pond Pale Ale,Deschutes Brewery,Bend,OR,Deschutes,Classic English Style Pale Ale,2009
2816,Bronze,Hopfish,Flying Fish Brewing Co.,Cherry Hill,NJ,Camden,Classic English Style Pale Ale,2009
2817,Gold,Dark Starr Stout,Starr Hill Brewing Co.,Crozet,VA,Albemarle,Classic Irish-Style Dry Stout ,2009
2818,Silver,Three Steve Stout,Cambridge House Brewpub (The),Torrington,CT,Litchfield,Classic Irish-Style Dry Stout ,2009
2819,Bronze,Pub Dog Black Dog Stout,DOG Brewing Co.,Westminster,MD,Carroll,Classic Irish-Style Dry Stout ,2009
2820,Gold,Dude! Where's My Vespa?,Rock Bottom Brewery - Arlington,Arlington,VA,Arlington,Coffee Flavored Beer,2009
2821,Silver,Overcast Espresso Stout,Oakshire Brewing,Eugene,OR,Lane,Coffee Flavored Beer,2009
2822,Bronze,Coffee Bender,Surly Brewing Co.,Brooklyn Center,MN,Hennepin,Coffee Flavored Beer,2009
2823,Gold,Move Back,SandLot (The),Denver,CO,Denver,Dortmunder or German-Style Oktoberfest,2009
2824,Silver,Greenside Up,SandLot (The),Denver,CO,Denver,Dortmunder or German-Style Oktoberfest,2009
2825,Bronze,Capital Bavarian Lager,Capital Brewery Co. Inc,Middleton,WI,Dane,Dortmunder or German-Style Oktoberfest,2009
2826,Gold,Longboard Brown,Rock Bottom Brewery - La Jolla,La Jolla,CA,San Diego,English Style Brown Ale,2009
2827,Silver,Buster Nut Brown,Ska Brewing Co.,Durango,CO,La Plata,English Style Brown Ale,2009
2828,Bronze,Good Grief Brown,Pizza Port - Carlsbad,Carlsbad,CA,San Diego,English Style Brown Ale,2009
2829,Gold,Sara's Ruby Mild,Magnolia Gastropub & Brewery,San Francisco,CA,San Francisco,English Style Mild Ale,2009
2830,Silver,AK Session,Snake River Brewing Co.,Jackson,WY,Teton,English Style Mild Ale,2009
2831,Bronze,Coyote Moon,Snipes Mountain Brewing Co.,Sunnyside,WA,Yakima,English Style Mild Ale,2009
2832,Gold,Beech Street Bitter,Pizza Port - Carlsbad,Carlsbad,CA,San Diego,English-Style India Pale Ale,2009
2833,Silver,IPA,Goose Island Beer Co.,Chicago,IL,Cook,English-Style India Pale Ale,2009
2834,Bronze,Brewer's Alley India Pale Ale,Brewer's Alley Restaurant and Brewery,Frederick,MD,Frederick,English-Style India Pale Ale,2009
2835,Gold,Light Rock Ale,RJ Rockers Brewing Co.,Spartanburg,SC,Spartanburg,English-Style Summer Ale,2009
2836,Silver,Surfer's Summer Ale,Pelican Pub & Brewery,Pacific City,OR,Tillamook,English-Style Summer Ale,2009
2837,Bronze,True Blonde Ale,Ska Brewing Co.,Durango,CO,La Plata,English-Style Summer Ale,2009
2838,Gold,Dunkel,Chuckanut Brewery,Bellingham,WA,Whatcom,European Style Dunkel,2009
2839,Silver,Gordon Biersch Dunkles,Gordon Biersch Brewery Restaurant Group,Broomfield,CO,Broomfield,European Style Dunkel,2009
2840,Bronze,Dunkel,AC Golden Brewing Co.,Golden,CO,Jefferson,European Style Dunkel,2009
2841,Gold,TPS Report,Trinity Brewing Co.,Colorado Springs,CO,El Paso,Experimental Beer,2009
2842,Silver,Bloody Beer,Short's Brewing Co.,Bellaire,MI,Antrim,Experimental Beer,2009
2843,Bronze,Brabant,Avery Brewing Co.,Boulder,CO,Boulder,Experimental Beer,2009
2844,Gold,ESB,Redhook Ales - Woodinville,Woodinville,WA,King,Extra Special Bitter or Strong Bitter,2009
2845,Silver,Motorboat ESB,Sweetwater Brewing Co.,Atlanta,GA,Fulton,Extra Special Bitter or Strong Bitter,2009
2846,Bronze,Colorado Boy IPA,Colorado Boy Pub & Brewery,Ridgway,CO,Ouray,Extra Special Bitter or Strong Bitter,2009
2847,Gold,Space Stout,Laurelwood Brewing Co.,Portland,OR,Multnomah,Foreign Style Stout,2009
2848,Silver,San Quentin's Breakout Stout,Marin Brewing Co.,Larkspur,CA,Marin,Foreign Style Stout,2009
2849,Bronze,Whiteface Black Diamond Stout,Great Adirondack Brewing Co.,Lake Placid,NY,Essex,Foreign Style Stout,2009
2850,Gold,Saison Vautour,McKenzie Brew House,Glen Mills,PA,NOT KNOWN,French- and Belgian Style Saison,2009
2851,Silver,Belgian Summer Ale,Great Adirondack Brewing Co.,Lake Placid,NY,Essex,French- and Belgian Style Saison,2009
2852,Bronze,Saison Du Bastone,Bastone Brewery,Royal Oak,MI,Oakland,French- and Belgian Style Saison,2009
2853,Gold,Raspberry Creek,Breakwater Brewing Co.,Oceanside,CA,San Diego,Fruit Beer or Field Beer,2009
2854,Silver,Magnolia's Peach,BJ's Restaurant & Brewery,Huntington Beach,CA,Orange,Fruit Beer or Field Beer,2009
2855,Bronze,Raspberry Tart,New Glarus Brewing Co.,New Glarus,WI,Green,Fruit Beer or Field Beer,2009
2856,Gold,Bismarck Altbier,Dry Dock Brewing Co.,Aurora,CO,Adams,German Style Altbier,2009
2857,Silver,Boca Alt,Brewzzi West Palm,West Palm Beach,FL,Palm Beach,German Style Altbier,2009
2858,Bronze,Gordon Biersch Alt Bier,Gordon Biersch Brewery Restaurant Group,Broomfield,CO,Broomfield,German Style Altbier,2009
2859,Gold,The Kaiser,Avery Brewing Co.,Boulder,CO,Boulder,German Style Doppelbock or Eisbock,2009
2860,Silver,Samuel Adams Double Bock,Boston Beer Co.,Boston,MA,Suffolk,German Style Doppelbock or Eisbock,2009
2861,Bronze,Carbonator,Glenwood Canyon Brewing Co.,Glenwood Springs,CO,Garfield,German Style Doppelbock or Eisbock,2009
2862,Gold,Kolsch,Sierra Nevada Brewing Co.,Chico,CA,Butte,German Style Kölsch,2009
2863,Silver,Clearwater Kolsch,Ram Restaurant & Brewery (2),Tacoma,WA,Pierce,German Style Kölsch,2009
2864,Bronze,Stoudts Kolsch,Stoudt's Brewing Co.,Adamstown,PA,Lancaster,German Style Kölsch,2009
2865,Gold,Dogtoberfest,Flying Dog Brewery,Frederick,MD,Frederick,German Style Märzen,2009
2866,Silver,Reines Marzen,Dry Dock Brewing Co.,Aurora,CO,Adams,German Style Märzen,2009
2867,Bronze,Rocktoberfest,Rock Bottom Brewery - Long Beach,Long Beach,CA,Los Angeles,German Style Märzen,2009
2868,Gold,Schwarzbier,Iron Hill Brewery & Restaurant,Wilmington,DE,New Castle,German Style Schwarzbier,2009
2869,Silver,Schwarzbier,Chuckanut Brewery,Bellingham,WA,Whatcom,German Style Schwarzbier,2009
2870,Bronze,Dark Helmet,Titletown Brewing Co.,Green Bay,WI,Brown,German Style Schwarzbier,2009
2871,Gold,106 Pilsner,Rock Bottom Brewery - Milwaukee,Milwaukee,WI,Milwaukee,German-Style Pilsener,2009
2872,Silver,Pilsner,Chuckanut Brewery,Bellingham,WA,Whatcom,German-Style Pilsener,2009
2873,Bronze,Troegs Sunshine Pils,Tröegs Brewing Co.,Harrisburg,PA,Dauphin,German-Style Pilsener,2009
2874,Gold,Berliner Weisse,Southampton Publick House,Southampton,NY,Suffolk,German-Style Sour Ale,2009
2875,Silver,NBB Love,New Belgium Brewing Co.,Fort Collins,CO,Larimer,German-Style Sour Ale,2009
2876,Bronze,Bad Kitty,Brugge Brasserie,Indianapolis,IN,Marion,German-Style Sour Ale,2009
2877,Gold,Hefeweizen,Triumph Brewing Co. of New Hope,New Hope,PA,Bucks,German-Style Wheat Ale,2009
2878,Silver,Weizenbock,Covey Restaurant & Brewery (The),Fort Worth,TX,NOT KNOWN,German-Style Wheat Ale,2009
2879,Bronze,Upslope Dunkel Weizen,Upslope Brewing Co.,Boulder,CO,Boulder,German-Style Wheat Ale,2009
2880,Gold,Celia Framboise,Alchemist (The),Waterbury,VT,Washington,Gluten Free Beer,2009
2881,Silver,Redbridge,"Anheuser-Busch, Inc",Saint Louis,MO,St. Louis (city),Gluten Free Beer,2009
2882,Bronze,Celia IPA,Alchemist (The),Waterbury,VT,Washington,Gluten Free Beer,2009
2883,Gold,Golden Spike,Tustin Brewing Co.,Tustin,CA,Orange,Golden or Blonde Ale,2009
2884,Silver,Kiwanda Cream Ale,Pelican Pub & Brewery,Pacific City,OR,Tillamook,Golden or Blonde Ale,2009
2885,Bronze,Red Rock Blonde Ale,Red Rock Brewing Co.,Salt Lake City,UT,Salt Lake,Golden or Blonde Ale,2009
2886,Gold,Stillwater Rye,Montana Brewing Co.,Billings,MT,Yellowstone,Herb and Spice or Chocolate Beer ,2009
2887,Silver,Imperial Chocolate Stout,Rogue Ales,Newport,OR,Lincoln,Herb and Spice or Chocolate Beer ,2009
2888,Bronze,Rude Elf's Reserve,Fegley's Allentown & Bethlehem Brew Works,Allentown,PA,Lehigh,Herb and Spice or Chocolate Beer ,2009
2889,Gold,Organic Ace of Spades Imperial IPA,Hopworks Urban Brewery,Portland,OR,Multnomah,Imperial India Pale Ale,2009
2890,Silver,Denogginizer,Drake's Brewing Co.,San Leandro,CA,Alameda,Imperial India Pale Ale,2009
2891,Bronze,Hip Hop Double IPA,Hollister Brewing Co.,Goleta,CA,Santa Barbara,Imperial India Pale Ale,2009
2892,Gold,Shark Attack,Pizza Port - Solana Beach,Solana Beach,CA,San Diego,Imperial Red Ale,2009
2893,Silver,547 Haight - The Toronado San Francisco's 20th Anniversary Imperial Red Ale,Pizza Port - Carlsbad,Carlsbad,CA,San Diego,Imperial Red Ale,2009
2894,Bronze,Organic Deranger Imperial Red,Laurelwood Brewing Co.,Portland,OR,Multnomah,Imperial Red Ale,2009
2895,Gold,Gonzo Imperial Porter,Flying Dog Brewery,Frederick,MD,Frederick,Imperial Stout,2009
2896,Silver,Yeti Imperial Stout,Great Divide Brewing Co.,Denver,CO,Denver,Imperial Stout,2009
2897,Bronze,Sexual Chocolate Imperial Stout,Foothills Brewing,Winston-Salem,NC,Forsyth,Imperial Stout,2009
2898,Gold,Gold Leaf Lager,Devils Backbone Brewing Co.,Roseland,VA,NOT KNOWN,International-Style Pilsener,2009
2899,Silver,OE800,Miller Brewing Co.,Golden,CO,Jefferson,International-Style Pilsener,2009
2900,Bronze,Gold Mountain Pilsner,Silver City Brewery,Silverdale,WA,Kitsap,International-Style Pilsener,2009
2901,Gold,Ridgetop Red,Silver City Brewery,Silverdale,WA,Kitsap,Irish-Style Red Ale,2009
2902,Silver,Colorado Boy Irish,Colorado Boy Pub & Brewery,Ridgway,CO,Ouray,Irish-Style Red Ale,2009
2903,Bronze,Saranac Irish Red Ale,Saranac/F.X. Matt Brewing Co.,Utica,NY,Oneida,Irish-Style Red Ale,2009
2904,Gold,Hell In Keller,Uncle Billy's Brew & Que,Austin,TX,Travis,Kellerbier/Zwickelbier,2009
2905,Silver,Natural Born Keller,Devils Backbone Brewing Co.,Roseland,VA,NOT KNOWN,Kellerbier/Zwickelbier,2009
2906,Bronze,Red Rock Organic Zwickel Bier,Red Rock Brewing Co.,Salt Lake City,UT,Salt Lake,Kellerbier/Zwickelbier,2009
2907,Gold,Saint Arnold Summer Pils,Saint Arnold Brewing Co.,Houston,TX,Harris,Munich Style Helles,2009
2908,Silver,Where the Helles Bill?,SandLot (The),Denver,CO,Denver,Munich Style Helles,2009
2909,Bronze,Gordon Biersch Golden Export,Gordon Biersch Brewery Restaurant Group,Broomfield,CO,Broomfield,Munich Style Helles,2009
2910,Gold,Ernest's Silky Smoove,Pizza Port - San Clemente,San Clemente,CA,Orange,Oatmeal Stout,2009
2911,Silver,Oatmeal Stout,Morgan Territory Brewing,Antioch,CA,Contra Costa,Oatmeal Stout,2009
2912,Bronze,Sleeping Dog Stout,Chama River Brewing Co.,Albuquerque,NM,Bernalillo,Oatmeal Stout,2009
2913,Gold,Old Scrooge '98,Silver City Brewery,Silverdale,WA,Kitsap,Old Ale or Strong Ale,2009
2914,Silver,Outback X,Bend Brewing Co.,Bend,OR,Deschutes,Old Ale or Strong Ale,2009
2915,Bronze,4th Dementia Old Ale,Kuhnhenn Brewing Co.,Warren,MI,Macomb,Old Ale or Strong Ale,2009
2916,Gold,Big Rapid Red,Beaver St. Brewery,Flagstaff,AZ,Coconino,Ordinary or Special Bitter,2009
2917,Silver,Cutthroat Pale Ale,Uinta Brewing Co.,Salt Lake City,UT,Salt Lake,Ordinary or Special Bitter,2009
2918,Bronze,Numbers Ale,Red Brick-Atlanta Brewing Co.,Atlanta,GA,Fulton,Ordinary or Special Bitter,2009
2919,Gold,Cardiff,Glenwood Canyon Brewing Co.,Glenwood Springs,CO,Garfield,Other Strong Beer ,2009
2920,Silver,Winter Wheatwine,Rubicon Brewing Co.,Sacramento,CA,Sacramento,Other Strong Beer ,2009
2921,Bronze,FiftyFifty Imperial Stout,FiftyFifty Brewing Co.,Truckee,CA,Nevada,Other Strong Beer ,2009
2922,Gold,W '10,Widmer Brothers Brewing Co.,Portland,OR,Multnomah,Out of Category – Traditionally Brewed Beer,2009
2923,Silver,Brooklyner-Schneider Hopfen-Weisse,Brooklyn Brewery,Brooklyn,NY,Kings,Out of Category – Traditionally Brewed Beer,2009
2924,Bronze,S1NIST0R Black Ale,10 Barrel Brewing Co.,Bend,OR,Deschutes,Out of Category – Traditionally Brewed Beer,2009
2925,Gold,Herbal Joe's Columbarillo IPA,Chama River Brewing Co.,Albuquerque,NM,Bernalillo,Pro-Am Competition,2009
2926,Silver,Alright Already Amber,O'Fallon Brewery,O'Fallon,MO,St. Charles,Pro-Am Competition,2009
