Medal,Beer Name,Brewery,City,County,State,Category,Year,Total Category Entries
Gold,Rocket 100,The Austin Beer Garden Brewing Co.,Austin,Lonoke,TX,American-Style or International-Style Pilsener,2015,51
Gold,Monterey St. Pale Ale,Central Coast Brewing Co.,San Luis Obispo,San Luis Obispo,CA,American-Style Pale Ale,2015,160
Gold,Savant Blanc,Perennial Artisan Ales,Saint Louis,Gratiot,MO,American-Style Sour Ale,2015,86
Gold,Disorder Stout,Barley Brown's Brewpub,Baker City,Baker,OR,American-Style Stout,2015,39
Gold,Ratchet Strap IPA,Barley Brown's Beer,Baker City,Baker,OR,American-Style Strong Pale Ale,2015,134
Gold,Super 77 Wheat,Wiley Roots Brewing Co.,Greeley,Weld,CO,American-Style Wheat Beer,2015,58
Gold,The Big O,O'so Brewing,Plover,Pocahontas,WI,American-Style Wheat Beer With Yeast,2015,41
Gold,Cobaltic Porter,Bottle Logic Brewing,Anaheim,Orange,CA,Baltic-Style Porter,2015,35
Gold,Fat Hog,Ritual Brewing Co.,Redlands,San Bernardino,CA,Barley Wine-Style Ale,2015,56
Gold,Vintage Monks,Adelbert's Brewery,Austin,Lonoke,TX,Belgian- and French-Style Ale,2015,47
Gold,Bear Hair,Logboat Brewing Co.,Columbia,Houston,MO,Belgian-Style Blonde Ale or Pale Ale,2015,47
Gold,Sanitarium,Bier Brewery and Taproom,Indianapolis,Marion,IN,Belgian-Style Dubbel or Quadruple,2015,60
Gold,xReserve Ale 05-15 Peach and Ginger Saison,Saucony Creek Brewing Co.,Kutztown,Berks,PA,Belgian-Style Fruit Beer,2015,63
Gold,"Turbulent Consequence, Peche",Block 15,Corvallis,Ravalli,OR,Belgian-Style Lambic or Sour Ale,2015,78
Gold,Van Dammit,Jailbreak Brewing Co.,Laurel,Sussex,MD,Belgian-Style Strong Specialty Ale,2015,65
Gold,Wild West Tripel,Chicago Brewing Co. - NV,Las Vegas,Clark,NV,Belgian-Style Tripel,2015,52
Gold,Allagash White,Allagash Brewing Co.,Portland,Ashley,ME,Belgian-Style Witbier,2015,82
Gold,Break Line Bock,Rip Current Brewery,San Marcos,San Diego,CA,Bock,2015,38
Gold,Shower Beer,Champion Brewing Co.,Charlottesville,Charlottesville (city),VA,Bohemian-Style Pilsener,2015,62
Gold,(512) Wild Bear,(512) Brewing Co.,Austin,Lonoke,TX,Brett Beer,2015,85
Gold,Disaster at Meux,Lion Bridge Brewing Co.,Cedar Rapids,Linn,IA,Brown Porter,2015,57
Gold,Fire Tiger,Lander Brewing Co.,Lander,Fremont,WY,Chili Beer,2015,79
Gold,The Velvet Hog,TAPS Fish House & Brewery - Corona,Corona,Riverside,CA,Chocolate Beer,2015,65
Gold,Mr. Kite's Pale Ale,Social Kitchen & Brewery,San Francisco,San Francisco,CA,Classic English-Style Pale Ale,2015,46
Gold,Stearns Stout,Figueroa Mountain Brewing - Santa Barbara,Santa Barbara,Santa Barbara,CA,Classic Irish-Style Dry Stout,2015,36
Gold,Zumbar Chocolate Coffee Imperial Stout,New English Brewing Co.,San Diego,San Diego,CA,Coffee Beer,2015,149
Gold,Oktoberfest,Fort Collins Brewery & Tavern,Fort Collins,Larimer,CO,Dortmunder or German-Style Oktoberfest,2015,48
Gold,Bone Head Imperial Red,Fat Head's Brewery,Middleburg Heights,Cuyahoga,OH,Double Red Ale,2015,71
Gold,Red Hydrant Ale,Big Dog's Brewing Co.,Las Vegas,Clark,NV,English-Style Brown Ale,2015,72
Gold,Shanghai'd IPA,Old Town Brewing,Portland,Ashley,OR,English-Style India Pale Ale,2015,42
Gold,Mild,Brothers Craft Brewing,Harrisonburg,Catahoula,VA,English-Style Mild Ale,2015,40
Gold,Beaverton Blonde,Golden Valley Brewery and Pub,McMinnville,Yamhill,OR,English-Style Summer Ale,2015,38
Gold,Gigi,Exile Brewing,Des Moines,Polk,IA,European-Style Dark/Münchner Dunkel,2015,34
Gold,Mystery Airship Imperial Chocolate Porter,New Helvetia Brewing Co.,Sacramento,Sacramento,CA,Experimental Beer,2015,85
Gold,"Fade to Black, Volume 1",Left Hand Brewing Co.,Longmont,Boulder,CO,Export Stout,2015,39
Gold,The Guilty Party,Gibb's Hundred Brewing Co.,Greensboro,Hale,NC,Extra Special Bitter,2015,67
Gold,"Beets, Rhymes and Life",Fonta Flora Brewery,Morganton,Van Buren,NC,Field Beer,2015,52
Gold,Siren's Lure,Fair Winds Brewing Co.,Lorton,Otoe,VA,French- and Belgian-Style Saison,2015,132
Gold,Acequia IPA,Bosque Brewing Co.,Albuquerque,Bernalillo,NM,Fresh or Wet Hop Ale,2015,34
Gold,Magnolia's Peach,BJ's Restaurant & Brewery - Chandler,Chandler,Maricopa,AZ,Fruit Wheat Beer,2015,69
Gold,Copper Alt,Zipline Brewing Co.,Lincoln,Talladega,NE,German-Style Altbier,2015,49
Gold,The Regulator,Rahr & Sons Brewing Co.,Fort Worth,Tarrant,TX,German-Style Doppelbock or Eisbock,2015,25
Gold,Chuckanut Kolsch Style,Chuckanut Brewery,Bellingham,Norfolk,WA,German-Style Kölsch,2015,111
Gold,Oktoberfest,Rahr & Sons Brewing Co.,Fort Worth,Tarrant,TX,German-Style Märzen,2015,65
Gold,Pivo,Firestone Walker Brewing Co.,Paso Robles,San Luis Obispo,CA,German-Style Pilsener,2015,100
Gold,Lobo Negro,Pedernales Brewing Co.,Fredericksburg,Washington,TX,German-Style Schwarzbier,2015,37
Gold,Gose,Reuben's Brews Taproom,Seattle,King,WA,German-Style Sour Ale,2015,111
Gold,Saint Arnold Weedwacker,Saint Arnold Brewing Co.,Houston,Matanuska-Susitna,TX,German-Style Wheat Ale,2015,38
Gold,Watchstander Stout,Ghostfish Brewing Co.,Seattle,King,WA,Gluten-Free Beer,2015,24
Gold,Sunlight Cream Ale,Sun King Brewing Co.,Indianapolis,Marion,IN,Golden or Blonde Ale,2015,107
Gold,Garden Party,Free State Brewing Co.,Lawrence,McHenry,KS,Herb and Spice Beer,2015,142
Gold,Black Eagle Gratzer,Platform Beer Co.,Cleveland,Blount,OH,Historical Beer,2015,40
Gold,Electric Stinger,The Tap Beer Co.,Bloomington,San Bernardino,IN,Honey Beer,2015,52
Gold,Hop JuJu Imperial IPA,Fat Head's Brewery,Middleburg Heights,Cuyahoga,OH,Imperial India Pale Ale,2015,208
Gold,reDANKulous,Founders Brewing Co.,Grand Rapids,Kent,MI,Imperial Red Ale,2015,35
Gold,Double Negative,Grimm Artisanal Ales,Brooklyn,Conecuh,NY,Imperial Stout,2015,80
Gold,Mai Tai P.A.,Alvarado Street Brewery & Grill,Monterey,Monterey,CA,International-Style Pale Ale,2015,75
Gold,TAPS Irish Red,TAPS Fish House & Brewery - Corona,Corona,Riverside,CA,Irish-Style Red Ale,2015,70
Gold,STS Pils,Russian River Brewing Co.,Santa Rosa,Pima,CA,Kellerbier or Zwickelbier,2015,45
Gold,Bucket Seat Blonde,Garage Brewing Co. & Pizzeria,Temecula,Riverside,CA,Munich-Style Helles,2015,55
Gold,R & R Oatmeal Stout,Beaver Street Brewery,Flagstaff,Coconino,AZ,Oatmeal Stout,2015,73
Gold,Old Scrooge,Silver City Brewery,Bremerton,Kitsap,WA,Old Ale or Strong Ale,2015,39
Gold,DBA (Double Barrel Ale),Firestone Walker Brewing Co.,Paso Robles,San Luis Obispo,CA,Ordinary or Special Bitter,2015,43
Gold,Spangalang Table Beer,Spangalang Brewery,Denver,Denver,CO,Other Belgian-Style Ale,2015,45
Gold,Ursa Minor,McCoy's Public House,Kansas City,Wyandotte,MO,Other Strong Beer,2015,43
Gold,Recalcitrant Dockhand,Black Star Co-op,Austin,Lonoke,TX,Robust Porter,2015,102
Gold,Blitzkrieg Bock,Fat Head's Brewery - Portland,Portland,Ashley,OR,Rye Beer,2015,84
Gold,MacPelican's Wee Heavy Ale,Pelican Pub & Brewery,Pacific City,Tillamook,OR,Scotch Ale,2015,55
Gold,Copper John Scotch Ale,Madison River Brewing Co.,Belgrade,Stearns,MT,Scottish-Style Ale,2015,52
Gold,BJ's LightSwitch Lager,BJ's Restaurant & Brewery - Temple,Temple,Carroll,TX,Session Beer,2015,44
Gold,The Coachman,Societe Brewing Co.,San Diego,San Diego,CA,Session India Pale Ale,2015,161
Gold,Smoked Märzen,49th State Brewing Co.,Denali National Park,#N/A,AK,Smoke Beer,2015,57
Gold,Weißbier,Prost Brewing,Denver,Denver,CO,South German-Style Hefeweizen,2015,95
Gold,Hog Cabin,Great South Bay Brewery,Bay Shore,Charlevoix,NY,Specialty Beer,2015,59
Gold,West O CocO,West O Beer,West Okoboji,Dickinson,IA,Sweet Stout or Cream Stout,2015,75
Gold,Vienna Lager,Devils Backbone Brewing Co. - Outpost,Lexington,Lauderdale,VA,Vienna-Style Lager,2015,46
Gold,Wild Warehouse,Wander Brewing,Bellingham,Norfolk,WA,Wood- and Barrel-Aged Beer,2015,69
Gold,Veritas 015,The Lost Abbey,San Marcos,San Diego,CA,Wood- and Barrel-Aged Sour Beer,2015,137
Gold,Melange A Trois,Nebraska Brewing Co.,La Vista,Sarpy,NE,Wood- and Barrel-Aged Strong Beer,2015,179
