id,Medal,Beer Name,Brewery,City,County,State,Category,Year,Total Category Entries
183,Bronze,Capital Bavarian Lager,Capital Brewery Co. Inc.,Middleton,Canyon,WI,Dortmunder or German Style Oktoberfest,2009,20
184,Bronze,Michelob Ultra,Anheuser-Busch Inc.,Saint Louis,Gratiot,MO,American Style Light Lager,2009,25
185,Bronze,Totally Naked,New Glarus Brewing Co,New Glarus,Green,WI,American Style Lager or Premium Lager,2009,34
186,Bronze,Steel Reserve,Miller Brewing Co.,Golden,Jefferson,CO,American Style Specialty Lager,2009,23
187,Bronze,Clipper City Marzhon Vienna Lager,Clipper City Brewing Co.,Baltimore,Baltimore (city),MD,Vienna Style Lager,2009,25
188,Bronze,Rocktoberfest,Rock Bottom Brewery - Long Beach,Long Beach,Los Angeles,CA,German Style Märzen,2009,45
189,Bronze,Michelob Marzen,Michelob Brewing Co.,Saint Louis,Gratiot,MO,American Style Amber Lager,2009,45
190,Bronze,Dunkel,AC Golden Brewing Co.,Golden,Jefferson,CO,European Style Dunkel,2009,21
191,Bronze,Saranac Black Forest,Saranac/F.X. Matt Brewing Co.,Utica,LaSalle,NY,American Style Dark Lager,2009,15
192,Bronze,Dark Helmet,Titletown Brewing Co.,Green Bay,Brown,WI,German Style Schwarzbier,2009,34
193,Bronze,Fornicator,Piece Brewery,Chicago,Cook,IL,Bock,2009,40
194,Bronze,Carbonator,Glenwood Canyon Brewing Co.,Glenwood Springs,Garfield,CO,German Style Doppelbock or Eisbock,2009,21
195,Bronze,Veles Baltic Porter,FireHouse Grill & Brewery,Sunnyvale,Santa Clara,CA,Baltic Style Porter,2009,16
196,Bronze,Red Rock Blonde Ale,Red Rock Brewing Co.,Salt Lake City,Salt Lake,UT,Golden or Blonde Ale,2009,43
197,Bronze,Stoudts Kolsch,Stoudt Brewing Co.,Adamstown,Frederick,PA,German Style Kölsch,2009,43
198,Bronze,True Blonde Ale,Ska Brewing Co.,Durango,La Plata,CO,English Style Summer Ale,2009,33
199,Bronze,Hopfish,Flying Fish Brewing Co.,Cherry Hill,Will,NJ,Classic English Style Pale Ale,2009,33
200,Bronze,Brewer’s Alley India Pale Ale,Brewer’s Alley Restaurant and Brewery,Frederick,Weld,MD,English Style India Pale Ale,2009,40
201,Bronze,Tumble Off Pale Ale,Barley Brown’s Brew Pub,Baker City,Baker,OR,American Style Pale Ale,2009,108
202,Bronze,IPA Nectar,Firestone Walker Brewing Co.,Paso Robles,San Luis Obispo,CA,American Style Strong Pale Ale,2009,70
203,Bronze,Blind Pig IPA,Russian River Brewing Co.,Santa Rosa,Pima,CA,American Style India Pale Ale,2009,134
204,Bronze,Hip Hop Double IPA,Hollister Brewing Co.,Goleta,Santa Barbara,CA,Imperial India Pale Ale,2009,77
205,Bronze,Hop Head Red,Green Flash Brewing Co.,Vista,San Diego,CA,American Style Amber/Red Ale,2009,78
206,Bronze,Organic Deranger Imperial Red,Laurelwood Brewing Co.,Portland,Ashley,OR,Imperial Red Ale,2009,36
207,Bronze,Coyote Moon,Snipes Mountain Brewing Inc.,Sunnyside,Hoonah-Angoon,WA,English Style Mild Ale,2009,17
208,Bronze,Numbers Ale,Red Brick-Atlanta Brewing Co.,Atlanta,Columbia,GA,Ordinary or Special Bitter,2009,45
209,Bronze,Colorado Boy IPA,Colorado Boy Pub & Brewery,Ridgway,Ouray,CO,Extra Special Bitter or Strong Bitter,2009,47
210,Bronze,Cold Smoke Scotch Ale,Kettlehouse Brewing Co.,Missoula,Missoula,MT,Scottish Style Ale,2009,29
211,Bronze,Saranac Irish Red Ale,Saranac/F.X. Matt Brewing Co.,Utica,LaSalle,NY,Irish Style Red Ale,2009,32
212,Bronze,Good Grief Brown,Pizza Port Carlsbad,Carlsbad,San Diego,CA,English Style Brown Ale,2009,41
213,Bronze,Great American Brown,Pizza Port Carlsbad,Carlsbad,San Diego,CA,American Style Brown Ale,2009,43
214,Bronze,Gordon Biersch Alt Bier,Gordon Biersch Brewery Restaurant Group,Broomfield,Broomfield,CO,German Style Altbier,2009,35
215,Bronze,Bad Kitty,Brugge Brasserie,Indianapolis,Marion,IN,German Style Sour Ale,2009,13
216,Bronze,Wiezen,Redhook Ales - Portsmouth,Portsmouth,Shelby,NH,South German Style Hefeweizen,2009,66
217,Bronze,Upslope Dunkel Weizen,Upslope Brewing Co.,Boulder,Boulder,CO,German Style Wheat Ale,2009,38
218,Bronze,Wits End,Great American Restaurants,Centreville,Bibb,VA,Belgian Style Witbier,2009,53
219,Bronze,Saison Du Bastone,Bastone Brewery,Royal Oak,Talbot,MI,French  and Belgian Style Saison,2009,56
220,Bronze,Collaborative Evil-Sacramento,Sacramento Brewing Co.,Sacramento,Sacramento,CA,Belgian and French Style Ale,2009,41
221,Bronze,Supplication,Russian River Brewing Co.,Santa Rosa,Pima,CA,Belgian Style Lambic or Sour Ale,2009,29
222,Bronze,Deschutes Brewery Quad,Deschutes Brewery,Bend,Tehama,OR,Belgian Style Abbey Ale,2009,58
223,Bronze,Father Damien Abbey Ale,Maui Brewing Co.,Lahaina,Maui,HI,Belgian Style Strong Specialty Ale,2009,70
224,Bronze,Black Butte Porter,Deschutes Brewery,Bend,Tehama,OR,Brown Porter,2009,38
225,Bronze,Pirate’s Porter,Sullivan’s Black Forest Brew Haus & Grill,Frankenmuth,Saginaw,MI,Robust Porter,2009,57
226,Bronze,Pub Dog Black Dog Stout,DOG Brewing Co.,Westminster,Orange,MD,Classic Irish Style Dry Stout,2009,19
227,Bronze,Whiteface Black Diamond Stout,Great Adirondack Brewing Co.,Lake Placid,Highlands,NY,Foreign Style Stout,2009,20
228,Bronze,Stonefly Oatmeal Stout,Third Street Aleworks,Santa Rosa,Pima,CA,American Style Stout,2009,22
229,Bronze,Steel Toe Stout,Ska Brewing Co.,Durango,La Plata,CO,Sweet Stout,2009,27
230,Bronze,Sleeping Dog Stout,Chama River Brewing Co.,Albuquerque,Bernalillo,NM,Oatmeal Stout,2009,31
231,Bronze,Sexual Chocolate Imperial Stout,Foothills Brewing,Winston-Salem,Forsyth,NC,Imperial Stout,2009,56
232,Bronze,MacPelican’s Wee Heavy Ale,Pelican Pub & Brewery,Pacific City,Tillamook,OR,Scotch Ale,2009,37
233,Bronze,4th Dementia Old Ale,Kuhnhenn Brewing Co.,Warren,Bradley,MI,Old Ale or Strong Ale,2009,29
234,Bronze,Old Ruffian Barley Wine,Great Divide Brewing Co.,Denver,Denver,CO,Barley Wine Style Ale,2009,54
235,Gold,Sandy Bottom,Blue Mountain Brewery,Afton,San Bernardino,VA,American Style Wheat Beer,2010,23
236,Gold,Point Horizon Wheat,Stevens Point Brewery,Stevens Point,Portage,WI,American Style Wheat Beer With Yeast,2010,43
237,Gold,Chardonnay Blonde,Blue Moon Brewing Co.,Denver,Denver,CO,Fruit Beer,2010,75
238,Gold,Frog’s Hollow Double Pumpkin Ale,Hoppin’ Frog Brewing Co.,Akron,Hale,OH,Field Beer,2010,28
239,Gold,Rosemary Swamp Fox,Moon River Brewing Co.,Savannah,Chatham,GA,Herb and Spice or Chocolate Beer,2010,91
240,Gold,Baltic Coffee,Devils Backbone Brewing Co.,Roseland,Sonoma,VA,Coffee Flavored Beer,2010,52
241,Gold,Belipago,Jolly Pumpkin Artisan Ales,Dexter,Laurens,MI,Specialty Beer,2010,23
