,Medal,Beer Name,Brewery,City,State,Category,Year
263,Bronze,Rise Up Rye,Gun Hill Brewing Co.,Bronx,NY,Rye Beer,2018
264,Gold,Real Heavy,Real Ale Brewing Co.,Blanco,TX,Scotch Ale,2018
265,Silver,Skag,6th and La Brea,Los Angeles,CA,Scotch Ale,2018
266,Bronze,Kilt Switch,903 Brewers,Sherman,TX,Scotch Ale,2018
267,Gold,Taildragger Clan-Destine,Saddle Mountain Brewing Co.,Goodyear,AZ,Scottish-Style Ale,2018
268,Silver,Saint Arnold Oktoberfest,Saint Arnold Brewing Co.,Houston,TX,Scottish-Style Ale,2018
269,Bronze,It Takes a Tribe Red Ale,Goat Patch Brewing Co.,Colorado Springs,CO,Scottish-Style Ale,2018
270,Gold,Natural Bridge: Vienna Lager,Eppig Brewing,San Diego,CA,Session Beer,2018
271,Silver,Noble Miner,Burgeon Beer Co.,Carlsbad,CA,Session Beer,2018
272,Bronze,Stonefly Session Ale,Three Creeks Production,Sisters,OR,Session Beer,2018
273,Gold,The Coachman,Societe Brewing Co.,San Diego,CA,Session India Pale Ale,2018
274,Silver,Little Downtown Tom,Three Mile Brewing Co.,Davis,CA,Session India Pale Ale,2018
275,Bronze,Mosaic Reprise,Little City Brewing Co.,Raleigh,NC,Session India Pale Ale,2018
276,Gold,St. Chuck's Smoke,Rogue Ales Issaquah Brewhouse,Issaquah,WA,Smoke Beer,2018
277,Silver,Pro-Pro Porter,Wormtown Brewery,Worcester,MA,Smoke Beer,2018
278,Bronze,Raucher,Wolverine State Brewing Co.,Ann Arbor,MI,Smoke Beer,2018
279,Gold,Civil Rest,Little Brother Brewing,Greensboro,NC,South German-Style Hefeweizen,2018
280,Silver,Hoofer's Hef,Bankhead Brewing Co.,Rowlett,TX,South German-Style Hefeweizen,2018
281,Bronze,Hefeweizen,Standard Deviant Brewing,San Francisco,CA,South German-Style Hefeweizen,2018
282,Gold,Graham Cracker Porter,Denver Beer Co. - Canworks,Denver,CO,Specialty Beer,2018
283,Silver,Double Stack,Great Notion Brewing,Portland,OR,Specialty Beer,2018
284,Bronze,I Did It All For The Cookie,FiftyFifty Brewing - Production Facility,Truckee,CA,Specialty Beer,2018
285,Gold,Apricot Saison,105 West Brewing Co.,Castle Rock,CO,Specialty Saison,2018
286,Silver,Sunken City,Insight Brewing Co.,Minneapolis,MN,Specialty Saison,2018
287,Bronze,Rustic Sunday,Birds Fly South Ale Project,Greenville,SC,Specialty Saison,2018
288,Gold,Moozie,Brink Brewing Co.,Cincinnati,OH,Sweet Stout or Cream Stout,2018
289,Silver,Udder Love,Beachwood Brewing,Huntington Beach,CA,Sweet Stout or Cream Stout,2018
290,Bronze,Melk Stout,Columbus Brewing Co.,Columbus,OH,Sweet Stout or Cream Stout,2018
291,Gold,Oktoberfest,SKA Brewing,Durango,CO,Vienna-Style Lager,2018
292,Silver,13.Five Ofest,Blue Mountain Barrel House and Organic Brewery,Arrington,VA,Vienna-Style Lager,2018
293,Bronze,Vienna Lager,Grains of Wrath Brewing,Camas,WA,Vienna-Style Lager,2018
294,Gold,Barrel Aged Japance Off,Denver Beer Co. - Olde Town Arvada,Arvada,CO,Wood- and Barrel-Aged Beer,2018
295,Silver,Redrum,Duck Foot Brewing Co.,San Diego,CA,Wood- and Barrel-Aged Beer,2018
296,Bronze,beWILDering C,Ten Pin Brewing Co.,Moses Lake,WA,Wood- and Barrel-Aged Beer,2018
297,Gold,3 Barrel Circus,River Dog Brewing Co.,Bluffton,SC,Wood- and Barrel-Aged Sour Beer,2018
298,Silver,Duck Duck Gooze,Port Brewing Co. / The Lost Abbey,San Marcos,CA,Wood- and Barrel-Aged Sour Beer,2018
299,Bronze,Oak-Aged Sour,Propolis Brewing,Port Townsend,WA,Wood- and Barrel-Aged Sour Beer,2018
300,Gold,Santa's Brass,Drake's Brewing Co.,San Leandro,CA,Wood- and Barrel-Aged Strong Beer,2018
301,Silver,Willett Barrel-Aged Ye Old Sprinklerhead Barleywine,The Wrecking Bar Brewpub,Atlanta,GA,Wood- and Barrel-Aged Strong Beer,2018
302,Bronze,Straight Jacket,Revolution Brewing,Chicago,IL,Wood- and Barrel-Aged Strong Beer,2018
303,Gold,70K Amburana,Against the Grain Brewery,Louisville,KY,Wood- and Barrel-Aged Strong Stout,2018
304,Silver,A Night to End All Dawns,Kane Brewing,Ocean,NJ,Wood- and Barrel-Aged Strong Stout,2018
305,Bronze,Eclipse,FiftyFifty Brewing Co.,Truckee,CA,Wood- and Barrel-Aged Strong Stout,2018
306,Gold,Quadtum Leap,Revelry Brewing Co.,Charleston,SC,Aged Beer,2018
307,Silver,"Lock, Stock and Brandy Barrel",Maize Valley Craft Brewery,Hartville,OH,Aged Beer,2018
308,Bronze,Solzhenitsyn,Iron Hill Brewery & Restaurant - Media,Media,PA,Aged Beer,2018
309,Gold,Whitewall Wheat,Crank Arm Brewing Co.,Raleigh,NC,American-Belgo-Style Ale,2018
310,Silver,#4.5 Dry Hopped Saison,Brown Truck Brewery,High Point,NC,American-Belgo-Style Ale,2018
311,Bronze,Mischief,The Bruery,Placentia,CA,American-Belgo-Style Ale,2018
312,Gold,Pecos Amber Lager,Texas Beer Co.,Taylor,TX,American-Style Amber Lager,2018
313,Silver,Märzen,Sudwerk Brewing Co.,Davis,CA,American-Style Amber Lager,2018
314,Bronze,Oktoberfest,Lager Heads Brewing Co.,Medina,OH,American-Style Amber Lager,2018
315,Gold,West Coast Swing Amber,The Mitten Brewing Co.,Grand Rapids,MI,American-Style Amber/Red Ale,2018
316,Silver,Sepia Amber,Hopping Gnome Brewing Co.,Wichita,KS,American-Style Amber/Red Ale,2018
317,Bronze,Avalon Amber Ale,Slack Tide Brewing Co.,Cape May Court House,NJ,American-Style Amber/Red Ale,2018
318,Gold,Alpha Force Double Tap,Uberbrew,Billings,MT,American-Style Black Ale,2018
319,Silver,Black the Riipper,Riip Beer Co.,Huntington Beach,CA,American-Style Black Ale,2018
320,Bronze,Midnight Moonlight,Fat Head's Brewery,Middleburg Heights,OH,American-Style Black Ale,2018
321,Gold,Davy Brown Ale,Figueroa Mountain Brewing,Buellton,CA,American-Style Brown Ale,2018
322,Silver,Groundswell Piloncillo Brown Ale,Groundswell Brewing Co.,Santee,CA,American-Style Brown Ale,2018
323,Bronze,Wallops Island,Rocket Frog Brewing Co.,Sterling,VA,American-Style Brown Ale,2018
324,Gold,Gateway Cream Ale,Lockport Brewery,Bolivar,OH,American-Style Cream Ale,2018
325,Silver,Dayblazer Easygoing Ale,New Belgium Brewing Co. - Ft. Collins,Fort Collins,CO,American-Style Cream Ale,2018
326,Bronze,El Sully,21st Amendment Brewery,San Leandro,CA,American-Style Cream Ale,2018
327,Gold,Raspberry Twist Lager,Garage Brewing Co.,Temecula,CA,American-Style Fruit Beer,2018
328,Silver,Cherry Blonde,Ignite Brewing Co.,Barberton,OH,American-Style Fruit Beer,2018
329,Bronze,Tropic Maelstrom,Peter B's Brewpub,Monterey,CA,American-Style Fruit Beer,2018
330,Gold,Bine,Root Down Brewing Co.,Phoenixville,PA,American-Style India Pale Ale,2018
331,Silver,Not an IPA (P.S. it's an IPA),Appalachian Mountain Brewery - Portsmouth,Portsmouth,NH,American-Style India Pale Ale,2018
332,Bronze,West Coast IPA is Dead!,Green Cheek Beer Co.,Orange,CA,American-Style India Pale Ale,2018
333,Gold,Lager,Appalachian Mountain Brewery - Boone,Boone,NC,American-Style Lager or American-Style Malt Liquor,2018
334,Silver,American Lager,Castle Island Brewing Co.,Norwood,MA,American-Style Lager or American-Style Malt Liquor,2018
335,Bronze,Lumino,Unsung Brewing Co.,Tustin,CA,American-Style Lager or American-Style Malt Liquor,2018
336,Gold,B.Right On Pale Ale,Ocean Beach Brewery,San Diego,CA,American-Style Pale Ale,2018
337,Silver,Neighborhood,Ventura Coast Brewing Co.,Ventura,CA,American-Style Pale Ale,2018
338,Bronze,Charlatan,Maplewood Brewing Co.,Chicago,IL,American-Style Pale Ale,2018
339,Gold,Rocket 100,The Austin Beer Garden Brewing Co.,Austin,TX,American-Style Pilsener,2018
340,Silver,NZ Pils,Wolverine State Brewing Co.,Ann Arbor,MI,American-Style Pilsener,2018
341,Bronze,Howdy Beer,The Post Brewing Co.,Lafayette,CO,American-Style Pilsener,2018
342,Gold,Kveik 1,Shades of Pale Brewery,Park City,UT,American-Style Sour Ale,2018
343,Silver,Brevity,Brewery Silvaticus,Amesbury,MA,American-Style Sour Ale,2018
344,Bronze,Wicked Shifty,Shoe Tree Brewing Co.,Carson City,NV,American-Style Sour Ale,2018
345,Gold,Hooligan Stout,Old Schoolhouse Brewery,Winthrop,WA,American-Style Stout,2018
346,Silver,P2P,10 Barrel Brewing Co.,Bend,OR,American-Style Stout,2018
347,Bronze,Black Cliffs,Boise Brewing,Boise,ID,American-Style Stout,2018
348,Gold,Green Battles IPA,Pinthouse Pizza North,Austin,TX,American-Style Strong Pale Ale,2018
349,Silver,Easy Runaway,Old Schoolhouse Brewery,Winthrop,WA,American-Style Strong Pale Ale,2018
350,Bronze,Lucky Day,Central Coast Brewing Co. - Higuera St.,San Luis Obispo,CA,American-Style Strong Pale Ale,2018
351,Gold,Sweet As Pacific Ale,GoodLife Brewing Co.,Bend,OR,American-Style Wheat Beer,2018
352,Silver,Goofy Footed,Escape Brewing Co.,Trinity,FL,American-Style Wheat Beer,2018
353,Bronze,"Easy, Breezy, Beautiful",Cloudburst Brewing,Seattle,WA,American-Style Wheat Beer,2018
354,Gold,Miner's Gold,Lewis & Clark Brewing Co.,Helena,MT,American-Style Wheat Beer with Yeast,2018
355,Silver,Fuzztail,Sunriver Brewing,Sunriver,OR,American-Style Wheat Beer with Yeast,2018
356,Bronze,Hefeweizen,Widmer Brothers Brewing,Portland,OR,American-Style Wheat Beer with Yeast,2018
357,Gold,Sunshine Express,Butcherknife Brewing Co.,Steamboat Springs,CO,Australian-Style Pale Ale,2018
358,Silver,Strata IPA,Worthy Brewing Co.,Bend,OR,Australian-Style Pale Ale,2018
359,Bronze,Flavor Country,Austin Beerworks,Austin,TX,Australian-Style Pale Ale,2018
360,Gold,Odin's Sword,Big Island Brewhaus,Kamuela,HI,Baltic-Style Porter,2018
361,Silver,Death and the Maiden,Cambridge Brewing Co.,Cambridge,MA,Baltic-Style Porter,2018
362,Bronze,Bangor Slate Baltic Porter,Two Rivers Brewing Co.,Easton,PA,Baltic-Style Porter,2018
363,Gold,Chicago Overcoat,Midnight Pig Beer,Plainfield,IL,Barley Wine-Style Ale,2018
364,Silver,Barnacled Manatee,Walking Tree Brewery,Vero Beach,FL,Barley Wine-Style Ale,2018
365,Bronze,Bear Temper,Trustworthy Brewing Co.,Burbank,CA,Barley Wine-Style Ale,2018
366,Gold,5 Branches Biere de Garde,Munkle Brewing Co.,Charleston,SC,Belgian- and French-Style Ale,2018
367,Silver,Biere de Garde,Blackberry Farm Brewery,Walland,TN,Belgian- and French-Style Ale,2018
368,Bronze,Abby Blonde,Thirsty Monk Pub Brewery,Denver,CO,Belgian- and French-Style Ale,2018
369,Gold,Jean-Claude Van Blond,Wit's End Brewing Co.,Denver,CO,Belgian-Style Blonde Ale or Pale Ale,2018
370,Silver,Singel,Hardywood West Creek,Richmond,VA,Belgian-Style Blonde Ale or Pale Ale,2018
371,Bronze,Blonde Betty,Smuggler's Brewpub,Telluride,CO,Belgian-Style Blonde Ale or Pale Ale,2018
372,Gold,BJ's Quad,BJ's Restaurant & Brewery - Boulder,Boulder,CO,Belgian-Style Dubbel or Quadrupel,2018
373,Silver,Kung Fu Smurf,Bastone Brewery,Royal Oak,MI,Belgian-Style Dubbel or Quadrupel,2018
374,Bronze,Deduction,Taxman Brewing Co.,Bargersville,IN,Belgian-Style Dubbel or Quadrupel,2018
375,Gold,Foxy Lady,Silver City Brewery,Bremerton,WA,Belgian-Style Fruit Beer,2018
376,Silver,Blood-Orange Wit,Great Basin Brewing Co. - Sparks,Sparks,NV,Belgian-Style Fruit Beer,2018
377,Bronze,Kumquat Saison,Smog City Brewing Wood Cellar,Torrance,CA,Belgian-Style Fruit Beer,2018
378,Gold,Funk Yeah,Beachwood Blendery,Long Beach,CA,Belgian-Style Lambic or Sour Ale,2018
379,Silver,Triad,IMBIB Custom Brews,Reno,NV,Belgian-Style Lambic or Sour Ale,2018
380,Bronze,I Am Only Memories,Orpheus Brewing,Atlanta,GA,Belgian-Style Lambic or Sour Ale,2018
381,Gold,Midwatch,Figurehead Brewing Co.,Seattle,WA,Belgian-Style Strong Specialty Ale,2018
382,Silver,Qualified,Taxman Brewing Co.,Bargersville,IN,Belgian-Style Strong Specialty Ale,2018
383,Bronze,Sol Hominis (The Sun Of Man),Save the World Brewing Co.,Marble Falls,TX,Belgian-Style Strong Specialty Ale,2018
384,Gold,Tripel Carmel-ite,Flix Brewhouse - Carmel,Carmel,IN,Belgian-Style Tripel,2018
385,Silver,Belgian Tripel,Village Idiot Brewing Co.,Mount Holly,NJ,Belgian-Style Tripel,2018
386,Bronze,Neighbor Girl,Paradigm Shift Brewing,Massillon,OH,Belgian-Style Tripel,2018
387,Gold,Biére Blanche,Pedal Haus Brewery,Tempe,AZ,Belgian-Style Witbier,2018
388,Silver,Optimal Wit,Port City Brewing Co.,Alexandria,VA,Belgian-Style Witbier,2018
389,Bronze,Allagash White,Allagash Brewing Co.,Portland,ME,Belgian-Style Witbier,2018
390,Gold,Baywindow,10 Barrel Brewing Co.,Bend,OR,Berliner-Style Weisse,2018
391,Silver,Germophile,Rowley Farmhouse Ales,Santa Fe,NM,Berliner-Style Weisse,2018
392,Bronze,Nevada Weisse,IMBIB Custom Brews,Reno,NV,Berliner-Style Weisse,2018
393,Gold,Guten Bock,Gilded Goat Brewing Co.,Fort Collins,CO,Bock,2018
394,Silver,New Kids on Maibock,Independent Brewing Co.,Bel Air,MD,Bock,2018
395,Bronze,Blind Tiger Bock,Blind Tiger Brewery & Restaurant,Topeka,KS,Bock,2018
396,Gold,Bohemian Pilsner,Gordon Biersch Brewery Restaurant - Tysons Corner,Broomfield,CO,Bohemian-Style Pilsener,2018
397,Silver,Pompey's Pilsner,Lewis & Clark Brewing Co.,Helena,MT,Bohemian-Style Pilsener,2018
398,Bronze,Bird Park,North Park Beer Co.,San Diego,CA,Bohemian-Style Pilsener,2018
399,Gold,C'mon Sunshine,Birds Fly South Ale Project,Greenville,SC,Brett Beer,2018
400,Silver,Terroir Pinot Gris,Alesong Brewing & Blending,Eugene,OR,Brett Beer,2018
401,Bronze,Touch of Brett Mandarina,Alesong Brewing & Blending,Eugene,OR,Brett Beer,2018
402,Gold,Maduro Brown Ale,Cigar City Brewing,Tampa,FL,Brown Porter,2018
403,Silver,Brown Claw,Kern River Brewing Co.,Kernville,CA,Brown Porter,2018
404,Bronze,Knee-Knocker Porter,Crow Hop Brewing Co.,Loveland,CO,Brown Porter,2018
405,Gold,White Legs Jalapeno Wheat,Tribute Brewing Co.,Eagle River,WI,Chili Beer,2018
406,Silver,Chamuco,Künstler Brewing,San Antonio,TX,Chili Beer,2018
407,Bronze,San Antonio Hatch Lager,Ranger Creek Brewery,San Antonio,TX,Chili Beer,2018
408,Gold,Coco for Coxness,Copperpoint Brewing Co.,Boynton Beach,FL,Chocolate Beer,2018
409,Silver,Genesee Brew House Pilot Batch DarkChocolate Scotch Ale,Genesee Brew House,Rochester,NY,Chocolate Beer,2018
410,Bronze,Chocolate Macadamia Nut Stout,Kilowatt Brewing,San Diego,CA,Chocolate Beer,2018
411,Gold,Pale Ale,Omission Brewing Co.,Portland,OR,Classic English-Style Pale Ale,2018
412,Silver,MacTarnahan’s Amber Ale,Portland Brewing Co.,Portland,OR,Classic English-Style Pale Ale,2018
413,Bronze,Prickly Pear,Lewis & Clark Brewing Co.,Helena,MT,Classic English-Style Pale Ale,2018
414,Gold,Shooter McMunn's,Lost Rhino Brewing Co.,Ashburn,VA,Classic Irish-Style Dry Stout,2018
415,Silver,It's My Island,Pocock Brewing Co.,Santa Clarita,CA,Classic Irish-Style Dry Stout,2018
416,Bronze,Know Ego,Groundswell Brewing Co.,Santee,CA,Classic Irish-Style Dry Stout,2018
417,Gold,Saison,Bent Paddle Brewing Co.,Duluth,MN,Classic Saison,2018
418,Silver,One Arm Farmhouse Ale,Hobbs Tavern & Brewing Co.,West Ossipee,NH,Classic Saison,2018
419,Bronze,Hayshaker,Gunwhale Ales,Costa Mesa,CA,Classic Saison,2018
420,Gold,Coffee Cream Ale,Kiitos Brewing,Salt Lake City,UT,Coffee Beer,2018
421,Silver,Mystery Airship 4.0: Temple Cascara Golden Ale,New Helvetia Brewing Co.,Sacramento,CA,Coffee Beer,2018
422,Bronze,First Call,Modist Brewing Co.,Minneapolis,MN,Coffee Beer,2018
423,Gold,Speargun,Snake River Brewing Co.,Jackson,WY,Coffee Stout or Porter,2018
424,Silver,Breakfast Stout,Founders Brewing Co.,Grand Rapids,MI,Coffee Stout or Porter,2018
425,Bronze,Udder Chaos,RAM Restaurant & Brewery - Seattle,Seattle,WA,Coffee Stout or Porter,2018
426,Gold,Iron Horse Lager,Great American Restaurants - Sweetwater Tavern Centreville,Centreville,VA,Dark Lager,2018
427,Silver,The Bennie,Granite City Food & Brewery,Olathe,KS,Dark Lager,2018
428,Bronze,Nighthawk,Enegren Brewing Co.,Moorpark,CA,Dark Lager,2018
429,Gold,Grandpa Tractor,Barley Forge Brewing,Costa Mesa,CA,Dortmunder or German-Style Oktoberfest,2018
430,Silver,Freiheit Oktoberfest Wiesn,Wayfinder Beer,Portland,OR,Dortmunder or German-Style Oktoberfest,2018
431,Bronze,Figtoberfest,Figueroa Mountain Brewing - Westlake Village,Westlake Village,CA,Dortmunder or German-Style Oktoberfest,2018
432,Gold,Midwest Red IPA,Masthead Brewing Co.,Cleveland,OH,Double Hoppy Red Ale,2018
433,Silver,Roundhouse,Bell's Eccentric Cafe,Kalamazoo,MI,Double Hoppy Red Ale,2018
434,Bronze,Bad Polaroid,Werk Force Brewing Co.,Plainfield,IL,Double Hoppy Red Ale,2018
435,Gold,Get Up Offa That Brown,Golden Road Brewing - Los Angeles,Los Angeles,CA,English-Style Brown Ale,2018
436,Silver,My Brown Eyed Girl,Thornapple Brewing Co.,Grand Rapids,MI,English-Style Brown Ale,2018
437,Bronze,No. 3 Brown,The Freehouse,Minneapolis,MN,English-Style Brown Ale,2018
438,Gold,Castillo IPA,Alaro Craft Brewery,Sacramento,CA,English-Style India Pale Ale,2018
439,Silver,Silverspot IPA,Pelican Brewing Co.,Pacific City,OR,English-Style India Pale Ale,2018
440,Bronze,Hoppy Poppy IPA,Figueroa Mountain Brewing,Buellton,CA,English-Style India Pale Ale,2018
441,Gold,Drift,First Magnitude Brewing Co.,Gainesville,FL,English-Style Mild Ale,2018
442,Silver,Hold The Reins,Brink Brewing Co.,Cincinnati,OH,English-Style Mild Ale,2018
443,Bronze,Fools & Babies,Green Cheek Beer Co.,Orange,CA,English-Style Mild Ale,2018
444,Gold,Liquid AC,Karl Strauss Brewing Co. - La Jolla,La Jolla,CA,English-Style Summer Ale,2018
445,Silver,Provider,Steel Toe Brewing,St. Louis Park,MN,English-Style Summer Ale,2018
446,Bronze,Zest A Peel,Triple C Brewing,Charlotte,NC,English-Style Summer Ale,2018
447,Gold,Feral Brute,Firestone Walker Barrelworks,Buellton,CA,Experimental Beer,2018
448,Silver,Terroir Pinot Noir,Alesong Brewing & Blending,Eugene,OR,Experimental Beer,2018
449,Bronze,Chips & Salsa Cream Ale,Cogstone Brewing Co.,Colorado Springs,CO,Experimental Beer,2018
450,Gold,Dissent,Steel Toe Brewing,St. Louis Park,MN,Export Stout,2018
451,Silver,Malpais Stout,La Cumbre Brewing Co.,Albuquerque,NM,Export Stout,2018
452,Bronze,Shut Up & Adore Me,Morgan Territory Brewing,Tracy,CA,Export Stout,2018
453,Gold,Happy Amber,MadTree Brewing 2.0,Cincinnati,OH,Extra Special Bitter,2018
454,Silver,ESB,Hillman Beer,Asheville,NC,Extra Special Bitter,2018
455,Bronze,Bull Kelp ESB,San Juan Island Brewing Co.,Friday Harbor,WA,Extra Special Bitter,2018
456,Gold,Cool for the Summer,Lakes & Legends Brewing Co.,Minneapolis,MN,Field Beer,2018
457,Silver,Coco Piña Gose,Coastal Empire Beer Co.,Savannah,GA,Field Beer,2018
458,Bronze,Hawaiian Lion Toasted Coconut & Coffee Porter,Big Top Brewing Co.,Sarasota,FL,Field Beer,2018
459,Gold,Passionate Envy,10 Barrel Brewing Co.,Bend,OR,Fruit Wheat Beer,2018
460,Silver,Purple Line,Smylie Brothers Brewing Co.,Evanston,IL,Fruit Wheat Beer,2018
461,Bronze,Cherry Wheat,Sierra Blanca Brewing Co.,Moriarty,NM,Fruit Wheat Beer,2018
462,Gold,Pink Passionfruit Sour,BearWaters Brewing Co.,Canton,NC,Fruited American-Style Sour Ale,2018
463,Silver,Kirby Pucker No. 21,Eastlake Craft Brewery,Minneapolis,MN,Fruited American-Style Sour Ale,2018
464,Bronze,Flaming Fury,Captain Lawrence Brewing Co.,Elmsford,NY,Fruited American-Style Sour Ale,2018
465,Gold,Réserve Dorée de Pêche,Wooden Robot,Charlotte,NC,Fruited Wood- and Barrel-Aged Sour Beer,2018
466,Silver,Sour Cherry Sour,Hermitage Brewing Co.,San Jose,CA,Fruited Wood- and Barrel-Aged Sour Beer,2018
467,Bronze,Zoned AG Golden Raspberry,Corralitos Brewing Co.,Watsonville,CA,Fruited Wood- and Barrel-Aged Sour Beer,2018
468,Gold,Legendary Red,Golden City Brewery,Golden,CO,German-Style Altbier,2018
469,Silver,Little Red Cap,Grimm Brothers Brewhouse,Loveland,CO,German-Style Altbier,2018
470,Bronze,Alt 1848,Utepils Brewing Co.,Minneapolis,MN,German-Style Altbier,2018
471,Gold,Smooth Like Jazz,Revelry Brewing Co.,Charleston,SC,German-Style Doppelbock or Eisbock,2018
472,Silver,Delaminator Doppelbock,Rip Current Brewery,San Marcos,CA,German-Style Doppelbock or Eisbock,2018
473,Bronze,St. Nigels' Doppelbock,Front Range Brewing Co.,Lafayette,CO,German-Style Doppelbock or Eisbock,2018
474,Gold,Colorado Kölsch,Steamworks Brewing Co.,Durango,CO,German-Style Koelsch,2018
475,Silver,Kascadia,54° 40' Brewing Co.,Washougal,WA,German-Style Koelsch,2018
476,Bronze,Veedels Bräu,Crooked Lane Brewing Co.,Auburn,CA,German-Style Koelsch,2018
477,Gold,Oktoberfest,Rahr & Sons Brewing Co.,Fort Worth,TX,German-Style Maerzen,2018
478,Silver,Oktoberfest,RAM Restaurant and Brewery - Lakewood,Lakewood,WA,German-Style Maerzen,2018
479,Bronze,Oktoberfest,Oak Highlands Brewery,Dallas,TX,German-Style Maerzen,2018
480,Gold,Netflix and Pils,Cannonball Creek Brewing Co.,Golden,CO,German-Style Pilsener,2018
481,Silver,Pilsner,pFriem Family Brewers,Hood River,OR,German-Style Pilsener,2018
482,Bronze,Pilsner,Ardent Craft Ales,Richmond,VA,German-Style Pilsener,2018
483,Gold,Bananenhängematte,FiftyFifty Brewing - Production Facility,Truckee,CA,German-Style Wheat Ale,2018
484,Silver,Alviso Mills Hefeweizen,Santa Clara Valley Brewing,San Jose,CA,German-Style Wheat Ale,2018
485,Bronze,Doppel BLUR,Circle Brewing Co.,Austin,TX,German-Style Wheat Ale,2018
486,Gold,Puckerberry,High Hops Brewery,Windsor,CO,Gluten-Free Beer,2018
487,Silver,Aurochs Blonde Ale,Aurochs Brewing Co.,Emsworth,PA,Gluten-Free Beer,2018
488,Bronze,Dark Ale,Ground Breaker Brewing,Portland,OR,Gluten-Free Beer,2018
489,Gold,MadeWest Standard,MadeWest Brewing Co.,Ventura,CA,Golden or Blonde Ale,2018
490,Silver,1956 Golden Ale,Bootstrap Brewing Co.,Niwot,CO,Golden or Blonde Ale,2018
491,Bronze,Pistol Pete’s 1888 Ale,Bosque Brewing Co. - Bosque North,Bernalillo,NM,Golden or Blonde Ale,2018
492,Gold,Two of Tarts,Upland Brewing Co.,Bloomington,IN,Gose,2018
493,Silver,Salty by Nature,Root Down Brewing Co.,Phoenixville,PA,Gose,2018
494,Bronze,Brewer's Day Off,D9 Brewing Co.,Cornelius,NC,Gose,2018
495,Gold,Pendragon,Royal Docks Brewhouse and Cannery,Massillon,OH,Herb and Spice Beer,2018
496,Silver,Hazelnut Crunch,North By Northwest Restaurant and Brewery - Slaughter,Austin,TX,Herb and Spice Beer,2018
