,Medal,Beer Name,Brewery,City,State,Category,Year
185,Bronze,Pistol Pete’s 1888 Ale,Bosque Brewing Co. - Bosque North,Bernalillo,NM,Golden or Blonde Ale,2018
186,Gold,Two of Tarts,Upland Brewing Co.,Bloomington,IN,Gose,2018
187,Silver,Salty by Nature,Root Down Brewing Co.,Phoenixville,PA,Gose,2018
188,Bronze,Brewer's Day Off,D9 Brewing Co.,Cornelius,NC,Gose,2018
189,Gold,Pendragon,Royal Docks Brewhouse and Cannery,Massillon,OH,Herb and Spice Beer,2018
190,Silver,Hazelnut Crunch,North By Northwest Restaurant and Brewery - Slaughter,Austin,TX,Herb and Spice Beer,2018
191,Bronze,Wheatstone Bridge,Tin Whiskers Brewing,St. Paul,MN,Herb and Spice Beer,2018
192,Gold,Pushing Trees,Central Standard Brewing,Wichita,KS,Historical Beer,2018
193,Silver,The BIG Lubelski,Divine Barrel Brewing,Charlotte,NC,Historical Beer,2018
194,Bronze,Zungen Brecher,Home Brewing Co.,San Diego,CA,Historical Beer,2018
195,Gold,Belgian Honey Blonde,No Clue Craft Brewery,Rancho Cucamonga,CA,Honey Beer,2018
196,Silver,Honey Comb Cream Ale,Rock Bottom Brewery - Pittsburgh,Denver,CO,Honey Beer,2018
197,Bronze,Basil Better Have My Honey,Low Tide Brewing,Johns Island,SC,Honey Beer,2018
198,Gold,Nobility,Noble Ale Works,Anaheim,CA,Imperial India Pale Ale,2018
199,Silver,Northern Lights,Moonraker Brewing Co. - Production Facility,Auburn,CA,Imperial India Pale Ale,2018
200,Bronze,Unbridled Enthusiasm,Third Space Brewing,Milwaukee,WI,Imperial India Pale Ale,2018
201,Gold,Happy Days,Claremont Craft Ales,Claremont,CA,Imperial Red Ale,2018
202,Silver,Robot,Stereo Brewing Co.,Placentia,CA,Imperial Red Ale,2018
203,Bronze,Cinder Beast,Sunriver Brewing,Sunriver,OR,Imperial Red Ale,2018
204,Gold,Kill the Lights,The Tap Brewery,Bloomington,IN,Imperial Stout,2018
205,Silver,The Shroud,Bravery Brewing,Lancaster,CA,Imperial Stout,2018
206,Bronze,Shimmergloom,Loowit Brewing Co.,Vancouver,WA,Imperial Stout,2018
